line,text_a,text_b,item_a,prosodel_a,lexel_a,grammel_a,item_b,prosodel_b,lexel_b,grammel_b,notes
42,þou schalt fynde me redi,riȝt bi þi syde,redi,short_i,MED36325,ajOd,syde,trochaic,MED40199,n<pr,
43,And bote þou and þi sone,me no mon touche,sone,trochaic,MED41557,n<pr,touche,trochaic,MED46559,vsjps13,
44,And Iosep[h] walk in þe world,& preche myne wordes,world,trochaic,MED53430,n<pr,wordes,trochaic,MED53418,nplOd,
45,to þe proudest men,A parti schul þei here,men,nontrochaic,MED26710,npl<pr,here,trochaic,MED20505,vi,
46,¶ þauȝ þei þe of manas,melen and þe þreten,manas,trochaic,MED26713,n<pr,þreten,trochaic,MED45478,vps23,
47,beo þou no þing a-dred,for non schal þe derue,adred,nontrochaic,MED556,vpp,derue,trochaic,MED11217,vi,
48,¶ lord I was neuer clerk,what and I ne cunne,clerk,nontrochaic,MED7991,n,cunne,trochaic,MED9326,vsjps11,
49,Louse þi lippes a-twynne,& let þe gost worche,atwynne,trochaic,MED2963,av,worche,trochaic,MED52280,vi,
50,Speche grace & vois,schul springe of þi tonge,vois,nontrochaic,MED51346,n,tonge,trochaic,MED46289,n<pr,
51,& alle turne to þi mouþ,holliche atenes,mouþ,dative_e,MED28827,n<pr,atenes,trochaic,MED2832,av,
52,¶ þenne he wawes his fot,þe blod he with him fonges,fot,nontrochaic,MED17401,nOd,fonges,trochaic,MED16624,vps13,
53,and in þe nome of þe fader,forþward he weendes,fader,trochaic,MED15113,n<pr,weendes,trochaic,MED52201,vps13,
54,Þei ferden to A Cite,faste bi-syde,Cite,nonschwa,MED7804,n<pr,bi-syde,trochaic,MED4824,av,
55,þat was called sarras,þer sarsyns sprongen,sarras,nonschwa,Wikidata_Q1853612,n,sprongen,trochaic,MED42428,vSpt23,
56,Erest þorw Abrahames wyf,þat wonede þer-inne,wyf,nontrochaic,MED52688,n<pr,þerinne,trochaic,MED45172,av,
57,Ioseph teiȝ to non hous,bote euene to þe temple,hous,nontrochaic,MED21360,n<pr,temple,trochaic,MED44732,n<pr,
58,He seiȝ þe kyng þer he sat,and wuste þat he was wraþþed,sat,nontrochaic,MED40572,vSpt13,wraþþed,trochaic,MED53563,vpp-aj,
59,& hopede he scholde him,touward God turne,him,nontrochaic,MED20803,P23Od,torne,trochaic,MED47404,vi,
60,For he and þo of Egipte,han werret to-gedere,Egipte,trochaic,Wikidata_Q79,n<pr,to-gedere,trochaic,MED46169,av,
61,And þei discounfitede him han,and scaþet ful ofte,han,nontrochaic,MED20173,vps23,ofte,trochaic,MED30410,av,
62,¶ þe kyng and his Baronage,a counseil bi-gonnen,Baronage,trochaic,MED3690,n,bi-gonnen,trochaic,MED4470,vSpt23,
63,he wolde haue red of his folk,and fare to hem ȝitte,folk,nontrochaic,MED16580,n<pr,ȝitte,trochaic,MED53930,av,
64,& þei forsaken hit han,& he vnsauht sittes,han,nontrochaic,MED20173,vps23,sittes,trochaic,MED40572,vps13,
65,SIre seis Iosep[h],or semblaunt is feble,Iosep,nonschwa,Wikidata_Q271474,n,feble,trochaic,MED15405,aj,
66,In gret Anguisse ȝe ben,þat nis not God greiþe,ben,nontrochaic,MED4048,vps22,greiþe,trochaic,MED19346,n,
67,wolde ȝe herkene to me,icholde ow bi-heete,me,nontrochaic,MED27132,P11<pr,bi-heete,trochaic,MED4533,vi,
68,He þat is mi foundeor,may hit folfulle,foundeor,nonschwa,MED17467,n,folfulle,trochaic,MED17897,vi,Scase transcription error
69,þat was ded on þe cros,& bouȝte us so deore,cros,dative_e,MED10442,n<pr,deore,trochaic,MED11197,av,
70,I am not worþi to seyn,moni of his werkes,seyn,nontrochaic,MED39393,vi-m,werkes,trochaic,MED52278,npl<pr,
71,¶ þou schewest A symple skil quaþ þe kyng,of|scutered þou semest,kyng,nontrochaic,MED24299,n,semest,trochaic,MED39359,vps12,
72,to speke of A ded mon,what may he don þer-ate,mon,nontrochaic,MED26710,n<pr,þerate,nontrochaic,MED45151,av,
73,¶ I schal sei ou quod Ioseph,& ȝe wol vndurstonde,Ioseph,nonschwa,Wikidata_Q271474,n,vndurstonde,trochaic,MED48362,vi,
74,tel on seis þe kyng,þi tale wol I here,kyng,nontrochaic,MED24299,n,here,trochaic,MED20505,vi,
75,ÞAt tyme þat Augustus Cesar,was Emperour of Rome,Cesar,nonschwa,MED7154,n,Rome,trochaic,MED37821,n<pr,
76,þis reson bi-gon,þat I schal now rikenen,bi-gon,nontrochaic,MED4470,vSpt13,rikenen,trochaic,MED36605,vi,
77,¶ whon god sende an Angel,in-to Galile,Angel,nonschwa,MED3046,nOd,Galile,nontrochaic,Wikidata_Q83241,n<pr,
78,to A Cite bi nome,Nazareth I-called,nome,trochaic,MED29051,n<pr,I-called,trochaic,MED6554,vpp-aj,
79,to A Maiden ful meke,þat Marie was hoten,meke,nontrochaic,MED27222,aj<pr,hoten,trochaic,MED21307,vSpp,
80,And seide Blessed beo þou flour,feirest of alle,flour,nontrochaic,MED16421,n-voc,alle,trochaic,MED985,ajnpl<pr,
81,þe holigost with-Inne þe,schal lenden and lihte,þe,nontrochaic,MED45072,P12<pr,lihte,trochaic,MED25504,vi,
82,þou schalt beren a Child,schal Ihesu bi hoten,Child,nontrochaic,MED7559,nOd,hoten,trochaic,MED21307,vSpp,
83,he chaungede cher & seide,hou scholde I gon with childe,seide,trochaic,MED39209,vpt13,childe,trochaic,MED7559,n<pr,
84,with-oute felauschupe of mon,he bad hire not demayen,mon,nontrochaic,MED26710,n<pr,demayen,trochaic,MED11971,vi,
85,¶ þou schalt be mayden for him,bi-foren and after,him,nontrochaic,MED20803,P13M<pr,after,trochaic,MED801,av,
86,Holliche with-outen wem,wite þou forsoþe,wem,dative_e,MED52187,n<pr,forsoþe,trochaic,MED17159,av,
87,And heo grauntede þenne,to ben at his grace,þenne,trochaic,MED45038,av,grace,trochaic,MED19175,n<pr,
88,And sone aftur þat gretnede,þat greiþli Mayde,gretnede,trochaic,MED19425,vpt13,Mayde,trochaic,MED26501,n,
89,Whon he wolde ben I-boren,at a Blisful tyme,I-boren,trochaic,MED4156,vSpp,tyme,trochaic,MED45871,n<pr,
90,he dude Miracles feole,þat mony men seiȝen,feole,trochaic,MED15514,ajplOd,seiȝen,trochaic,MED39393,vSpt23,
91,þre kynges of þe Est,þroly þei comen,Est,nontrochaic,MED14514,n<pr,comen,trochaic,MED8522,vSpt23,
92,And vche put him in hond,[a] present ful riche,hond,dative_e,MED21102,n<pr,riche,trochaic,MED37439,ajOd,
93,¶ Soone Heroudes þe kyng,herde of his burþe,kyng,nontrochaic,MED24299,n,burþe,trochaic,MED4759,n<pr,
94,He lette sle for his sake,selli mony children,sake,trochaic,MED38288,n<pr,children,trochaic,MED7559,nplOd,
95,Foure þousend and seue score,was þe summe holden,score,trochaic,MED38952,nOd,holden,trochaic,MED20995,vSpp,
96,þat weore I-slawe for his sake,for certeyn hit telles,sake,trochaic,MED38288,n<pr,telles,trochaic,MED44693,vps13,
97,Bote þorwȝ þe grace of him-self,gete him heo ne miȝt,himself,nontrochaic,MED20808,P13XM<pr,miȝt,trochaic,MED28782,vpt13,
98,His Mooder ay with him fleih,forþ in-to Egipte,fleih,nontrochaic,MED16271,vSpt13,Egipte,trochaic,Wikidata_Q79,n<pr,
99,¶ Whon he com in-to þe lond,leeue þou forsoþe,lond,dative_e,MED25988,n<pr,forsoþe,trochaic,MED17159,av,
100,feole temples þer-inne,tulten to þe eorþe,þerinne,trochaic,MED45172,av,eorþe,trochaic,MED14387,n<pr,
101,for heore false ymages,þat þei on leeueden,ymages,trochaic,MED22009,npl<pr,leeueden,trochaic,MED25342,vpt23,
102,Do a-wei þi Maumetes,þei han trayed þe ofte,Maumetes,trochaic,MED27106,nplOd,ofte,trochaic,MED30410,av,
103,Let breken hem a-two,and bren hem al to pouder,a-two,nontrochaic,MED2969,av,pouder,trochaic,MED34203,n<pr,
104,Schaltou neuer gete grace,þorwȝ none suche goddes,grace,trochaic,MED19175,nOd,goddes,trochaic,MED18945,npl<pr,
105,¶ þenne seis þe kyng,my wit mai not leeue,kyng,nontrochaic,MED24299,n,leeue,trochaic,MED25342,vi,
106,þat þou ne melest wonderli,& most a-ȝeyn kuynde,wondersli,nontrochaic,MED53383,av,kuynde,trochaic,MED24248,n<pr,
107,Hou scholde a child come forþ,with-oute flescly dedes,forþ,nontrochaic,MED17204,av,dedes,trochaic,MED10751,npl<pr,
108,Bi-twene wommon and Mon,my wit may not leeue,Mon,nontrochaic,MED26710,n<pr,leeue,trochaic,MED25342,vi,
109,SIre seide Ioseph,þou hiȝtest me to heere,Ioseph,nonschwa,Wikidata_Q271474,n,heere,trochaic,MED20505,vi-m,
110,And I schal preue þe tale,þat I fore telle,tale,trochaic,MED44431,nOd,fore-telle,trochaic,MED16889,vps11,
111,¶ whon god sat in his blisse,bosked in heuene,blisse,trochaic,MED5236,n<pr,heuene,trochaic,MED20700,n<pr,
112,He seiȝ þe peple þorw peine,passen in-to helle,peine,trochaic,MED32728,n<pr,helle,trochaic,MED20323,n<pr,
113,also wel þe holyeste,heold þider euene,holyeste,trochaic,MED21022,ajn-sup,euene,trochaic,MED14690,av,
114,as þe moste fooles,and þe fader þouȝte,fooles,trochaic,MED16528,npl,þouȝte,trochaic,MED45310,vpt13,
115,þat hit seemede nouȝt,and wolde his sone sende,nouȝt,nontrochaic,MED29935,av,sende,trochaic,MED39404,vi,
116,forte bringe hem out þer-of,and þerfore he lihte,þerof,nontrochaic,MED45182,av,lihte,trochaic,MED25504,vpt13,
117,What mon quaþ þe kyng,þou castest þi|seluen,kyng,nontrochaic,MED24299,n,seluen,trochaic,MED20373,P12XOd,
118,Toldest þou not now bi-foren,he nedde neuer fader,bi-foren,trochaic,MED4432,av,fader,trochaic,MED15113,nOd,
119,but elles with-oute mon,I-bore of a Mayden,mon,nontrochaic,MED26710,n<pr,Mayden,trochaic,MED26501,n<pr,
120,And þou seist now he has on,hou may þis sitte same,on,nontrochaic,MED30547,qcOd,same,trochaic,MED38399,av,
121,¶ He was Fader quod Ioseph,and for his sake called,Ioseph,nonschwa,Wikidata_Q271474,n,called,trochaic,MED6554,vpp-aj,
122,þat was gostliche his halt,ar he weore mon formed,halt,nontrochaic,MED20995,vSpp,formed,trochaic,MED17051,vpp,
123,And of two persones,sprong out þe þridde,persones,trochaic,MED33110,npl<pr,þridde,trochaic,MED45496,qoajn,
124,þat was þe holigost,as I be-foren seide,holigost,nontrochaic,MED21027,n,seide,trochaic,MED39209,vpt11,
125,His godhede lees he nouȝt,þeiȝ he come lowe,nouȝt,nontrochaic,MED29935,av,lowe,trochaic,MED26186,av,
126,þat he nas god ay forþ,in his grete strengþe,forþ,nontrochaic,MED17204,av,strengþe,trochaic,MED43299,n<pr,
127,¶ I sei þe Fader was God,ar out was bi-gonnen,God,nontrochaic,MED18945,n,bi-gonnen,trochaic,MED4470,vSpp,
128,Made alle þing of nouȝt,þorw miht of him one,nouȝt,nontrochaic,MED29932,n<pr,one,trochaic,MED30549,av,
129,Dude þe prophetes to seye,þat hem-self nuste,seye,trochaic,MED39209,vi-m,nuste,trochaic,MED52987,vpt23,
130,Bote as hit com heom to mouþ,and meleden þe wordes,mouþ,dative_e,MED28827,n<pr,wordes,trochaic,MED53418,nplOd,
131,þe kuynde of þe Moder,þat he on eorþe tok,Moder,trochaic,MED28411,n<pr,tok,nontrochaic,MED44420,vSpt13,
132,þat diȝede a-wei,for he hit most dredde,a-wei,nontrochaic,MED3252,av,dredde,trochaic,MED12558,vpt13,
133,Bote þe kuynde of his Fader,þat was þe furste kuynde,Fader,trochaic,MED15113,n<pr,kuynde,trochaic,MED24248,n,
134,Holliche euere he heold,for þat diȝede neuere,heold,nontrochaic,MED20995,vSpt13,neuere,trochaic,MED29438,av,
135,Bote he was gostliche of Fader,and fleschliche of Moder,Fader,trochaic,MED15113,n<pr,Moder,trochaic,MED28411,n<pr,
136,So þat he com twies forþ,and bi two kuyndes,forþ,nontrochaic,MED17204,av,kuyndes,trochaic,MED24248,npl<pr,
137,ÞEnne seis þe kyng,þe lengore I here,kyng,nontrochaic,MED24299,n,here,trochaic,MED20505,vps11,
138,þe lesse reson I seo,in þat þat þou rikenest,seo,nontrochaic,MED39393,vps11,rikenest,trochaic,MED36605,vps12,
139,¶ þou toldest furst of his Fader,and of his furste kuynde,Fader,trochaic,MED15113,n<pr,kuynde,trochaic,MED24248,n<pr,
140,And þreo persones,and alle þei ben goddes,persones,trochaic,MED33110,npl<pr,goddes,trochaic,MED18945,npl,
141,¶ Ȝe sire bote I pertly vndo,þat I haue þe profred,vndo,nontrochaic,MED48470,vps11,profred,trochaic,MED34832,vpp,
142,I am worþi muche blame,what mai I seiȝe more,blame,trochaic,MED5078,nOi,more,trochaic,MED28626,ajOd-cpv,
143,¶ þe sone I tolde bi-fore,fongede vr kuynde,bi-fore,trochaic,MED4432,av,kuynde,trochaic,MED24248,nOd,
144,tok flesch and blod,in a feir mayden,blod,nontrochaic,MED5268,nOd,mayden,trochaic,MED26501,n<pr,
145,his Godhede luttulde not,þeiȝ he lowe lihte,not,nontrochaic,MED29867,av,lihte,trochaic,MED25504,vpt13,
146,þat he nas euere of o miȝt,mensked he worþe,miȝt,trochaic,MED27708,n<pr,worþe,trochaic,MED53475,vsjps13,
147,¶ þe kyng fette forþ,feole of his clerkes,forþ,nontrochaic,MED17204,av,clerkes,trochaic,MED7991,npl<pr,
148,to spute with Ioseph,þat spedes hem luite,Ioseph,nonschwa,Wikidata_Q271474,n<pr,luite,trochaic,MED25780,av,
149,Ioseph tok þe holy writ,and tei for his teeme,holy writ,nontrochaic,MED21044,nOd,teeme,trochaic,MED44699,n<pr,
150,and destruyede heore tale,with-inne þreo wordes,tale,trochaic,MED44431,nOd,wordes,trochaic,MED53418,npl<pr,
151,¶ þe ky[n]g bi-heold on his face,and on his limes lowore,face,trochaic,MED15088,n<pr,lowore,trochaic,MED26186,av-cpv,
152,Sayȝ he was barefot,and bar him in herte,barefot,nonschwa,MED3662,aj,herte,trochaic,MED20604,n<pr,
153,He* hedde I-ben of heiȝ blod,hedde he ben I-bosket,blod,nontrochaic,MED5268,n<pr,I-bosket,trochaic,MED6383,vpp,
154,And a ferli feir mon,and witerli him rewes,mon,nontrochaic,MED26710,n,rewes,trochaic,MED37273,vps13,
155,¶ what hettestou seis þe kyng,to Iosep[h] þenne,kyng,nontrochaic,MED24299,n,þenne,trochaic,MED45038,av,
156,Ioseph of Aramathie,is mi nome called,Aramathie,trochaic,Wikikata_Q2558868,n,called,trochaic,MED6554,vpp,
157,I schal sei þe Ioseph,as my wit þinkes,Ioseph,nonschwa,Wikidata_Q271474,n-voc,þinkes,trochaic,MED45310,vps13,
158,þow semest not ful good clerk,to kenne suche wordes,clerk,nontrochaic,MED7991,n,wordes,trochaic,MED53418,nplOd,
159,þe tale is heiȝ in him-self,þat þou of tellest,self,nontrochaic,MED20373,P13XM<pr,tellest,trochaic,MED44693,vps12,
160,Hit is ful þester to me,& moni a mon eke,me,nontrochaic,MED27132,P11<pr,eke,trochaic,MED13182,av,
161,¶ I schal seie þe Ioseph,I haue to done swiþe,Ioseph,nonschwa,Wikidata_Q271474,n-voc,swiþe,trochaic,MED44277,av,
162,I may not wel lenge now,to-morwe meet me heere,now,nontrochaic,MED29923,av,heere,trochaic,MED20434,av,
163,þow schalt haue liueraunce of In,and al þat þe neodes,In,trochaic,MED22277,n<pr,neodes,trochaic,MED29199,vps13,
164,whon vre leyser is more,vre lustnynge is bettre,more,trochaic,MED28626,aj-cpv,bettre,trochaic,MED4287,aj-cpv,
165,¶ I haue felauschupe wiþ-outen seis Ioseph,wel a|boute fifti,Ioseph,nonschwa,Wikidata_Q271474,n,fifti,short_i,MED15900,qcOd,
166,Boþe wymmen and men,þat mote wiþ me Inne,men,nontrochaic,MED26710,nplOd,Inne,trochaic,MED22823,vi,
167,¶ þe kyng lette fette hem forþ,bi-foren him to seo,forþ,nontrochaic,MED17204,av,seo,trochaic,MED39393,vi-m,
168,what leodes þei beon,and where þei weore boren,beon,nontrochaic,MED4048,vps23,boren,trochaic,MED4156,vSpp,
169,I trouwe þat beo þi sone,bi Iosaphe he seide,sone,trochaic,MED41557,n,seide,trochaic,MED39209,vpt13,
170,¶ Ȝe sire so he is,for soþe as I þe telle,is,nontrochaic,MED4048,vps13,telle,trochaic,MED44693,vps11,
171,Con he out of clergye,seis þe kyng þenne,clergye,trochaic,MED7987,n<pr,þenne,trochaic,MED45038,av,
172,leeue me forsoþe sire,þer liues no bettre,sire,trochaic,MED40511,n-voc,bettre,trochaic,MED4287,ajn-cpv,
173,¶ þe kyng lette lede hem,in-to toun lowe,hem,nontrochaic,MED20353,P23Od,lowe,trochaic,MED26186,av,
174,to a feir old court,and Innes hem þere,court,nontrochaic,MED10055,n<pr,þere,trochaic,MED45141,av,
175,Now we leuen Ioseph,and of þe kyng carpen,Ioseph,nonschwa,Wikidata_Q271474,nOd,carpen,trochaic,MED6853,vps21,
176,As he lai at niht,keuered in bedde,niht,dative_e,MED29498,n<pr,bedde,dative_e,MED3861,n<pr,
177,In þreo þouȝtes he was,and þat weore þis ilke,was,nontrochaic,MED4048,vpt13,ilke,trochaic,MED21962,pnpl,
178,¶ On for his grete folk,þat him wiþ-saken hedde,folk,nontrochaic,MED16580,n<pr,hedde,trochaic,MED20173,vpt13,
179,¶ A-noþur for Iosep[h]s tale,þat wolde fayn he tornede,tale,trochaic,MED44431,n<pr,tornede,trochaic,MED47404,vpt13,
180,¶ þe þridde How God scholde wiþ-outen wem,wonen in a Mayden,wem,dative_e,MED52187,n<pr,Mayden,trochaic,MED26501,n<pr,
181,¶ Þenne he seih in his chaumbre-flor,þreo* souht vp at enes,flor,dative_e,MED16387,n<pr,at enes,trochaic,MED2832,av,
182,þe braunches on heiȝ weoren,alle of o lengþe,weoren,trochaic,MED4048,vpt23,lengþe,trochaic,MED25124,n<pr,
183,Bote þe bark of þat on,semede dimmore,on,nontrochaic,MED30546,pn<pr,dimmore,trochaic,MED11669,aj-cpv,
184,þen ouþer of þe oþer two,trouwe þou forsoþe,two,nontrochaic,MED47539,qc<pr,forsoþe,trochaic,MED17159,av,
185,¶ þat signede Ihesu crist,for sake* of vre kuynde,crist,nontrochaic,MED10361,nOd,kuynde,trochaic,MED24248,n<pr,
186,was nout out-wiþ so cler,bote wiþ-inne he was clene,cler,nontrochaic,MED7975,aj,clene,trochaic,MED7950,aj,
187,¶ He calles on his chaumberleyn,to kennen vncouþes,chaumberleyn,nontrochaic,MED7343,n<pr,vncouþes,trochaic,MED48094,ajnplOd,
188,And he rises a-non,and for ferd falles,anon,nontrochaic,MED1714,av,falles,trochaic,MED15195,vps13,
189,And he feres* him vp,and bad him not ben ferd,vp,nontrochaic,MED50323,av,ferd,trochaic,MED15658,vpp-aj,
190,þer schal falle non euel,of þat is here formed,euel,trochaic,MED23619,n,formed,trochaic,MED17051,vpp,
191,¶ þei lihten two torches,and to þis treos wenten,torches,trochaic,MED46345,nplOd,wenten,trochaic,MED52201,vpt23,
192,þei weore semeli bi-neoþe,þei mihte not seo þe heiȝþe,bi-neoþe,trochaic,MED4674,av,heiȝþe,trochaic,MED20253,nOd,
193,sprongen wiþ gret sped,of a good spice,sped,trochaic,MED42055,n<pr,spice,trochaic,MED42182,n<pr,
194,On vche braunche was a word,of þreo maner enkes,word,nontrochaic,MED53418,n,enkes,trochaic,MED22773,npl<pr,
195,Gold and Seluer he seis,and Asur forsoþe,seis,nontrochaic,MED39393,vps13,forsoþe,trochaic,MED17159,av,sole instance of this spelling for SEE
196,¶ þis makeþ quod þe wiht,þe marke of gold,wiht,nontrochaic,MED52699,n,gold,dative_e,MED19031,n<pr,
197,¶ And þis saues quaþ þat wiht,þe seyne of seluer,wiht,nontrochaic,MED52699,n,seluer,trochaic,MED40351,n<pr,
198,And þis clanses,as þe Asur kennes,clanses,trochaic,MED7964,vps13,kennes,trochaic,MED24161,vps13,
199,¶ þe kyng nuste wel forte seye,bi wit þat he hedde,seye,trochaic,MED39209,vi-m,hedde,trochaic,MED20173,vpt13,
200,wheþer þat he seȝe,was on forte sigge,seȝe,trochaic,MED39393,vsjpt13,sigge,trochaic,MED39209,vi-m,
201,oþer two or þreo,or what he miȝte telle,þreo,nontrochaic,MED45441,qc,telle,trochaic,MED44693,vi,
202,¶ þe kyng was a-bascht,and to his bed buskes,a-bascht,trochaic,MED22,vpp,buskes,trochaic,MED6383,vps13,
203,and his Chaumberleyn so a-ferd,þat neih he felde I|swowen,a-ferd,trochaic,MED665,vpp-aj,I-Swowen,trochaic,MED44321,vSpp-aj,
204,¶ þenne he seiȝ a newe chaumbre-wouh,wrouȝt al of bordes,wouh,nontrochaic,MED53512,nOd,bordes,trochaic,MED5533,npl<pr,
205,a dore honginge þer-on,haspet ful faste,þeron,nontrochaic,MED45183,av,faste,trochaic,MED15314,av,
206,A child cominge þorw,his come was nout seene,þorw,nontrochaic,MED45600,av,seene,trochaic,MED23443,aj,
207,Siþen lenges a while,and a-ȝein lendes,while,trochaic,MED52555,nOi,lendes,trochaic,MED25102,vps13,
208,wiþ-outen faute oþer faus,as þei fore seiden,faus,nontrochaic,MED15200,n<pr,seiden,trochaic,MED39209,vpt23,Lawton emends b-verse
209,¶ þenne spekes a vois,and on heiȝ sigges,vois,nontrochaic,MED51346,n,sigges,trochaic,MED39209,vps13,
210,king haue þou no ferli,of þat is heere formed,ferli,nonschwa,MED15692,nOd,formed,trochaic,MED17051,vpp,
211,for so god with-outen wem,wende in a Mayden,wem,dative_e,MED52187,n<pr,Mayden,trochaic,MED26501,n<pr,
212,Now we leuen þe kyng,and of Ioseph carpen,kyng,nontrochaic,MED24299,nOd,carpen,trochaic,MED6853,vps21,
213,A lord quaþ Ioseph,how may þis limpe,Ioseph,nonschwa,Wikidata_Q271474,n,limpe,trochaic,MED25633,vi,
214,Of þis king Eualak,þat con not vnderstonde,Eualak,nontrochaic,NO_AUTH_euelak,n<pr,vnderstonde,trochaic,MED48362,vi,
215,Bote ȝif I turne him bi þis poynt,ar he henne passe,poynt,trochaic,MED33862,n<pr,passe,trochaic,MED32556,vsjps13,
216,beos he neuermore I-tornd,treweli I trouwe,I-tornd,trochaic,MED47404,vpp,trouwe,trochaic,MED47239,vps11,
